Species,FBname,Genus,Subfamily,BodyShapeI,Vulnerability,Length,DepthRangeShallow,DepthRangeDeep,Aquarium,Dangerous
Chaunax atimovatae,Southern frogmouth,Chaunax,NA,other (see remarks),15.74,21.1,145,637,never/rarely,harmless
Chaunax breviradius,NA,Chaunax,NA,NA,10,11,180,510,never/rarely,harmless
Chaunax endeavouri,Furry coffinfish,Chaunax,NA,other,16.84,22,50,450,never/rarely,harmless
Chaunax fimbriatus,Tassled coffinfish,Chaunax,NA,fusiform / normal,10,14,500,1985,never/rarely,harmless
Chaunax flammeus,NA,Chaunax,NA,NA,16.11,NA,760,810,never/rarely,harmless
Chaunax flavomaculatus,Yellowspot frogmouth,Chaunax,NA,short and / or deep,10,12.2,353,375,never/rarely,harmless
Chaunax heemstraorum,Heemstras' frogmouth,Chaunax,NA,other (see remarks),10,16.3,102,774,never/rarely,harmless
Chaunax hollemani,Holleman's frogmouth,Chaunax,NA,other (see remarks),13.79,19.5,280,428,never/rarely,harmless
Chaunax latipunctatus,NA,Chaunax,NA,NA,10,13.5,345,800,never/rarely,harmless
Chaunax mulleus,Redshoes frogmouth,Chaunax,NA,short and / or deep,10,16.1,720,1100,never/rarely,harmless
Chaunax nebulosus,Eyespot coffinfish,Chaunax,NA,NA,15.86,21.2,218,380,never/rarely,harmless
Chaunax nudiventer,Naked-belly Coffinfish,Chaunax,NA,short and / or deep,10.25,16.6,282,1089,never/rarely,harmless
Chaunax penicillatus,Pencil coffinfish,Chaunax,NA,short and / or deep,24.16,28,343,658,never/rarely,harmless
Chaunax pictus,Pink frogmouth,Chaunax,NA,short and / or deep,32.11,40,200,978,never/rarely,harmless
Chaunax reticulatus,Netted frogmouth,Chaunax,NA,short and / or deep,21.48,25.8,360,950,never/rarely,harmless
Chaunax russatus,Red coffinfish,Chaunax,NA,short and / or deep,18.43,23.3,512,1200,never/rarely,harmless
Chaunax stigmaeus,Redeye gaper,Chaunax,NA,other,21.76,30.5,90,730,NA,harmless
Chaunax suttkusi,NA,Chaunax,NA,short and / or deep,15.2,26.7,220,1060,never/rarely,harmless
Chaunax umbrinus,NA,Chaunax,NA,other,32.7,35,183,400,never/rarely,harmless
Chirophryne xenolophus,NA,Chirophryne,NA,short and / or deep,30.47,NA,1230,1400,never/rarely,harmless
Coelophrys arca,NA,Coelophrys,NA,short and / or deep,14.73,4.1,NA,423,never/rarely,harmless
Coelophrys bradburyae,NA,Coelophrys,NA,short and / or deep,21.18,5.8,557,595,never/rarely,harmless
Coelophrys brevicaudata,NA,Coelophrys,NA,short and / or deep,24.63,7.66,NA,1024,never/rarely,harmless
Coelophrys brevipes,NA,Coelophrys,NA,short and / or deep,18.57,5.1,NA,933,never/rarely,harmless
Coelophrys micropa,NA,Coelophrys,NA,short and / or deep,31.66,8.41,439,1400,never/rarely,harmless
Coelophrys mollis,NA,Coelophrys,NA,short and / or deep,13.79,3.9,NA,686,never/rarely,harmless
Coelophrys oblonga,NA,Coelophrys,NA,NA,23.79,NA,1393,NA,never/rarely,harmless
Cryptopsaras couesii,Triplewart seadevil,Cryptopsaras,NA,short and / or deep,43.37,7.3,0,3085,never/rarely,harmless
Ctenochirichthys longimanus,NA,Ctenochirichthys,NA,short and / or deep,30.47,NA,800,1000,never/rarely,harmless
Danaphryne nigrifilis,NA,Danaphryne,NA,NA,28.83,NA,0,2000,never/rarely,harmless
Dermatias platynogaster,NA,Dermatias,NA,short and / or deep,28.48,NA,549,1342,never/rarely,harmless
Dibrachichthys melanurus,NA,Dibrachichthys,NA,NA,10,5.7,6,146,never/rarely,harmless
Dibranchus accinctus,NA,Dibranchus,NA,short and / or deep,40.89,17.5,1510,1600,never/rarely,harmless
Dibranchus atlanticus,Atlantic batfish,Dibranchus,NA,other,59.35,39.4,45,1300,never/rarely,harmless
Dibranchus cracens,NA,Dibranchus,NA,short and / or deep,37.62,12.83,152,480,never/rarely,harmless
Dibranchus discors,NA,Dibranchus,NA,short and / or deep,35.21,10.79,310,965,never/rarely,harmless
Dibranchus erinaceus,NA,Dibranchus,NA,short and / or deep,35.75,11,700,1150,never/rarely,harmless
Dibranchus hystrix,NA,Dibranchus,NA,short and / or deep,37.13,12.5,914,2323,never/rarely,harmless
Dibranchus japonicus,Japanese seabat,Dibranchus,NA,short and / or deep,39.21,15.45,620,1494,never/rarely,harmless
Dibranchus nasutus,NA,Dibranchus,NA,NA,43.19,NA,344,403,never/rarely,harmless
Dibranchus nudivomer,NA,Dibranchus,NA,short and / or deep,35.75,11.2,605,1400,never/rarely,harmless
Dibranchus sparsus,NA,Dibranchus,NA,short and / or deep,31.66,8.37,443,528,never/rarely,harmless
Dibranchus spinosus,NA,Dibranchus,NA,short and / or deep,38.84,14.9,366,2324,never/rarely,harmless
Dibranchus spongiosa,NA,Dibranchus,NA,short and / or deep,38.03,13.32,700,1244,never/rarely,harmless
Dibranchus tremendus,NA,Dibranchus,NA,short and / or deep,42.53,19.2,750,2300,never/rarely,harmless
Dibranchus velutinus,NA,Dibranchus,NA,short and / or deep,34.36,9.9,450,525,never/rarely,harmless
Diceratias bispinosus,Two-rod anglerfish,Diceratias,NA,short and / or deep,10,11.2,533,2306,never/rarely,harmless
Diceratias pileatus,NA,Diceratias,NA,short and / or deep,18.67,23.5,640,1430,never/rarely,harmless
Diceratias trilobus,NA,Diceratias,NA,NA,10,NA,NA,1216,never/rarely,harmless
Dolopichthys allector,NA,Dolopichthys,NA,other,24.65,NA,1050,2000,never/rarely,harmless
Dolopichthys danae,NA,Dolopichthys,NA,short and / or deep,21.31,NA,600,2000,never/rarely,harmless
Dolopichthys dinema,NA,Dolopichthys,NA,NA,10,2.2,0,700,never/rarely,harmless
Dolopichthys jubatus,NA,Dolopichthys,NA,NA,21.55,NA,690,1353,never/rarely,harmless
Dolopichthys karsteni,NA,Dolopichthys,NA,short and / or deep,29.26,NA,700,1650,never/rarely,harmless
Dolopichthys longicornis,NA,Dolopichthys,NA,NA,21.31,NA,1375,2200,never/rarely,harmless
Dolopichthys pullatus,Lobed dreamer,Dolopichthys,NA,short and / or deep,21.31,NA,800,2000,never/rarely,harmless
Echinophryne crassispina,Prickly anglerfish,Echinophryne,Histiophryninae,other,10,7,0,20,never/rarely,harmless
Echinophryne mitchellii,Spinycoat anglerfish,Echinophryne,Histiophryninae,other,10,11.1,30,70,never/rarely,harmless
